Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
Sri Udupi Park,https://www.zomato.com/bangalore/sri-udupi-park-indiranagar,"South Indian, North Indian, Chinese, Street Food, Biryani, Ice Cream, Beverages, Shake","Indiranagar, Bangalore",7am – 11pm (Today),"273, Monalisa, 6th Main, 100 Feet Road, Indiranagar, Defence Colony, Indiranagar, Bangalore",+919945977774,1,1,1,1,4.0,462,4.1,16000,,"Filtered Coffee, Sambhar, Pav Bhaji, Gobi Manchurian","Economical, Prompt Service, Hygiene, Quality Food, Reasonable Price, Quick Service",450
Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-indiranagar,"Biryani, Andhra, North Indian, Seafood","Indiranagar, Bangalore",Opens at 6:30pm,"544, First Floor, CMH Road, Near Indiranagar Metro Station, Indiranagar, Bangalore",+918041135050,1,1,1,0,4.3,1654,4.3,28600,Spicy Chicken Biryani,"Authentic Hyderabadi Biryani, Paneer Biryani, Panner Tikka, Chicken 65, Lemon Chicken, Mutton Biriyani","Boneless Chicken Biryani, Ample Seating Area, Serving Size, Family Place, Relaxed Atmosphere, Delivery Person",700
Donne Biriyani House,https://www.zomato.com/bangalore/donne-biriyani-house-indiranagar-bangalore,Biryani,"Indiranagar, Bangalore",11am – 11pm (Today),"8/ 9, 17th F Cross, 2nd Stage, Indiranagar, Bangalore",+918861564169,1,1,1,0,3.9,411,3.5,33200,,,"Great Recommendations, Nice Taste, Great Ambiance, Good Quantity, Excellent Food, Nice Food",300
Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar,"Pizza, Fast Food, Desserts","Indiranagar, Bangalore",10:57am – 12midnight (Today),"308, 2nd Stage, 100 Feet Road, Indiranagar, Bangalore",+919916465787,1,1,1,0,2.4,422,4.4,8205,,"Barbeque Chicken Pizza, Choco Lava Cake, White Sauce Pasta, Pizzas","Value for Money, Packaging, Staff, Ambience, Food",400
KFC,https://www.zomato.com/bangalore/kfc-indiranagar,"Burger, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),"38/1A, CMH Road, Indiranagar, Bangalore",+919513700040,1,1,1,0,2.8,673,4.0,9148,,"Fiery Chicken, Chicken Popcorn, Rice Bowl, Wings","Elegantly Decorated, Great Recommendations, View, Location, Good Taste, Worth the Money",400
The Congee Concept,https://www.zomato.com/bangalore/the-congee-concept-ulsoor-bangalore,South Indian,"Ulsoor, Bangalore",,"26, Vemee Sadhana, 1st Main, Ulsoor, Bangalore",+918147222533,1,0,0,0,-,0,4.5,239,,,"Fresh Food with Good Quality, Worth the Money, Great Portions, Timely Service, Delicious Food",100
Burger King,https://www.zomato.com/bangalore/burger-king-indiranagar,"Burger, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",9am – 2am (Today),"545, Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",+918043028019,1,1,1,0,4.1,1499,4.1,22400,"High-quality, great-tasting and affordable Burgers.","Crispy Spicy Chicken, Chilly Burger, Thick Mango Shake, Strawberry Sundae, Mutton Patty, Whooper Burger","Bang for the Buck, Cozy Ambiance, Nice Crowd, Low Price, Comfortable Seating, Good Atmosphere",400
McDonald's,https://www.zomato.com/bangalore/mcdonalds-indiranagar,"Burger, Beverages, Fast Food, Desserts","Indiranagar, Bangalore",9:30am – 1:30am (Today),"539, Ground Floor, Ashwini Complex, Opposite Vijaya Bank, CMH Road, Indiranagar, Bangalore",+918928304094,1,1,1,0,3.8,500,4.1,7508,Their reasonably priced combos,"Mcspicy Chicken, Mcspicy Paneer, Maharaja Mac, Peri Peri Fries, Burgers, Coffee","Casual Seating Area, Hygiene, Location, Friendly Staff, Spicy, Good Place",400
Mani's Dum Biryani,https://www.zomato.com/manisindiranagar,"Biryani, Kebab","Jeevan Bhima Nagar, Bangalore",11am – 11:45pm (Today),"474, Ground Floor, 10th Main, HAL 3rd Stage, Jeevan Bhima Nagar, Bangalore",+918060001600,1,1,1,0,4.2,708,4.1,12700,It's flavourful Mutton Biryani.,"Paneer Fry, Chicken 65, Egg Biryani, Mutton Biryani, Starter","Serving Size, Family Place, Decent Ambience, Good Quantity, Decent Place, Portion",800
Madras Meal Company,https://www.zomato.com/bangalore/madras-meal-company-thippasandra-bangalore,South Indian,"Thippasandra, Bangalore",,"Jeevan Bhima Nagar Main Road, Ward 74, Shetty Palaza, Puttappa Layout, Thippasandra, Bangalore",+918045025371,1,0,0,0,-,0,4.0,2958,,"Tamilnadu Style, South Indian Meals, Gulab Jamun, Raita, Kabab, Chicken Biryani","Good Packaging, Excellent Food, Spill Proof Packaging, Good Taste, Reasonable Price, Packing",150
ZAZA 22 Spice Biryani,https://www.zomato.com/bangalore/zaza-22-spice-biryani-indiranagar-bangalore,"Biryani, Mughlai, North Indian","Indiranagar, Bangalore",,"01 & 02, Lower Ground, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",+918068172526,1,0,0,0,-,0,3.8,447,,,,200
New Alameen Restaurant,https://www.zomato.com/bangalore/new-alameen-restaurant-ulsoor-bangalore,"Kerala, North Indian, Chinese","Ulsoor, Bangalore",9am – 1am (Today),"22, Bazar Street, Ulsoor, Bangalore",+917795951120,1,1,1,0,3.7,226,3.7,9101,,,"Value for Price, Customizations Available, Chirpy Crowd, Bang for the Buck, Nice Delivery, Good Portions",300
Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar,"Pizza, Desserts","Indiranagar, Bangalore",,"191, First Floor, Chinmaya Mission Hospital Road, Hoysala Nagar, Below Metro Station, Indiranagar, Bangalore",+917738383000,1,0,0,0,-,0,4.3,3902,,,,250
Biryani Trip,https://www.zomato.com/bangalore/biryani-trip-indiranagar-bangalore,"Hyderabadi, Biryani","Indiranagar, Bangalore",,"21, 1st Floor, 2nd Stage, CMH Road, Indiranagar, Bangalore",+918073985789,1,0,0,0,-,0,4.0,70,,,,250
FreshMenu,https://www.zomato.com/FreshMenuIndiranagar,"Continental, North Indian, Biryani","Indiranagar, Bangalore",,"421/K, Shree Krishna Temple Road, Above SMK Mart, 1st Stage, Indiranagar, Bangalore",+918040424242,1,0,0,0,-,0,3.7,29100,,"Chicken Honey, Chicken Salad, Spaghetti, Salads, Chocolate Cake, Hot Chocolate","Prompt Delivery, New Menu, Fresh, Good Packaging, Quick Delivery, Healthy Food",200
BOX8 - Desi Meals,https://www.zomato.com/bangalore/box8-desi-meals-indiranagar-bangalore,"North Indian, Wraps, Fast Food, Biryani, Desserts, Beverages","Indiranagar, Bangalore",11am – 1am (Today),"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",+918068172526,1,1,0,0,-,0,4.2,16000,,"Rich Chocolate Brownie, Choco Lava Cake, Chole, Wraps, Iced Tea, Dal Makhni","Quick Delivery, Delivery Person, Contactless Delivery, Meals, Great Taste, Packing",200
Nagarjuna,https://www.zomato.com/bangalore/nagarjuna-indiranagar,"Andhra, Biryani, North Indian","Indiranagar, Bangalore","11:30am – 3:45pm, 6pm – 10:45pm (Today)","195, Binnamangala, 2nd Stage, Double Road, Indiranagar, Bangalore",+918042800900,1,1,1,0,4.3,2323,4.1,455,Andhra meals and Biryanis,"Vada Curry, Sweet Lime, Dal Palak, Mutton Masala, Chicken Roast, Mutton Pepper Fry","Valet Service, Valet Parking, Good for Large Groups, Relaxed Atmosphere, Authentic Food, Authenticity",800
Natural Ice Cream,https://www.zomato.com/bangalore/natural-ice-cream-indiranagar,"Ice Cream, Beverages","Indiranagar, Bangalore",11am – 11pm (Today),"2984, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",+919880031798,1,1,1,1,4.8,1145,4.6,1345,,"Coffee Walnut, Sitaphal Ice Cream, Custard Apple, Tender Coconut Ice Cream, Kala Jamun, Waffle Cone","Totally Worth it, Best Places, Concept, Awesome Place, Crowd, Quality",300
Bucket Biryani,https://www.zomato.com/bangalore/bucket-biryani-brigade-road-bangalore,"Biryani, Kebab","Brigade Road, Bangalore",11am – 10:54pm (Today),"44, Ground Floor, Castle Street, Ashok Nagar, Brigade Road, Bangalore",+919538739222,1,1,1,0,3.1,6,4.2,492,,,,1000
Rotti Walla,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts","Indiranagar, Bangalore",,"60, 1st Floor, GNR Enclave, Indiranagar Double Rroad, Indiranagar, Bangalore",+919483465991,1,0,0,0,-,0,3.9,8835,,,"Affordable Prices, Combo, Best Food under Best Budget, Great Portions, Timely Service, Good Food",100
Green Pepper,https://www.zomato.com/bangalore/green-pepper-jeevan-bhima-nagar,"Kerala, Biryani, North Indian, South Indian, Seafood, Chinese","Jeevan Bhima Nagar, Bangalore",,"1650, 10th Main, 80 Feet Road, Jeevan Bhima Nagar Main Road, Near BSNL Office, Jeevan Bhima Nagar, Bangalore",+919538886658,1,1,1,0,4.0,335,4.0,10300,,"Roasted Beef, Idiyappam, Kerala Parotta, Stew, Fish Curry, Sea Food","Cost Friendly, Budget Food, Good Value, Meals, Breakfast, Decent Place",600
Punjabi Dhaba,https://www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore,"North Indian, Mughlai, Chinese","Indiranagar, Bangalore",24 Hours (Today),"92, 1st Floor, Doopanahalli Main Road, HAL 2nd stage, Indiranagar, Bangalore",+919620006165,1,1,1,0,3.8,6,3.4,1216,,,,500
