course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject
288942,#1 Piano Hand Coordination: Play 10th Ballad in Eb Key songs,TRUE,35,3137,18,68,All Levels,1.5 hours,2014-09-18T05:07:05Z,Musical Instruments
1170074,#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,TRUE,75,1593,1,41,Intermediate Level,1 hour,2017-04-12T19:06:34Z,Musical Instruments
1193886,#12 Hand Coordination: Let your Hands dance with Ballad 9,TRUE,75,482,1,47,Intermediate Level,1.5 hours,2017-04-26T18:34:57Z,Musical Instruments
1116700,#4 Piano Hand Coordination: Fun Piano Runs in 2 Beats C Key,TRUE,75,850,3,43,Intermediate Level,1 hour,2017-02-21T23:48:18Z,Musical Instruments
1120410,#5  Piano Hand Coordination:  Piano Runs in 2 Beats Eb Key,TRUE,75,940,3,32,Intermediate Level,37 mins,2017-02-21T23:44:49Z,Musical Instruments
1122832,#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,TRUE,65,2015,3,21,Intermediate Level,44 mins,2017-03-08T17:53:36Z,Musical Instruments
1123184,#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,TRUE,65,2015,2,25,Intermediate Level,1 hour,2017-03-08T18:09:32Z,Musical Instruments
768028,* An Integrated Approach to the Fundamentals of Accounting,TRUE,200,134,14,123,All Levels,5.5 hours,2016-03-15T17:23:07Z,Business Finance
206592,:::Beginners Guide To Creating Amazing Images with Canva:::,TRUE,25,72,5,17,Beginner Level,1 hour,2014-04-29T19:50:31Z,Graphic Design
738910,[Value Investing] Where White People Keep Their Money,TRUE,200,2715,70,20,Expert Level,4 hours,2016-05-25T21:04:41Z,Business Finance
591880,1 - Concepts of Statistics For Beginners Step by Step,TRUE,200,273,4,15,Beginner Level,31 mins,2015-08-30T22:48:34Z,Business Finance
64605,1 Hour CSS,TRUE,100,18324,333,16,Beginner Level,1 hour,2013-07-09T20:27:14Z,Web Development
64422,1 Hour HTML,TRUE,200,16212,514,20,Beginner Level,1 hour,2013-07-09T03:16:26Z,Web Development
63612,1 Hour JavaScript,TRUE,200,22999,602,18,Beginner Level,1 hour,2013-07-04T15:27:02Z,Web Development
72262,1 hour jQuery,TRUE,100,5456,133,25,Beginner Level,1 hour,2013-08-03T14:20:52Z,Web Development
145220,1. Principles of Simple Interest ,TRUE,20,1074,6,13,All Levels,1 hour,2014-01-13T20:43:46Z,Business Finance
302450,10 Numbers Every Business Owner Should Know,TRUE,20,13,1,9,All Levels,1 hour,2015-03-08T19:11:24Z,Business Finance
157336,10.  Bonds and Bond Pricing,TRUE,20,308,4,10,All Levels,1 hour,2014-02-11T18:11:55Z,Business Finance
897162,101 Awesome Rockabilly Guitar Licks,TRUE,40,407,64,33,Intermediate Level,2.5 hours,2016-08-10T20:58:18Z,Musical Instruments
384928,101 Blues riffs - learn how the harmonica superstars do it,TRUE,200,1350,65,55,Intermediate Level,6.5 hours,2015-01-04T21:14:31Z,Musical Instruments
1165268,15  Motion Graphic Elements in After Effect (Series 2),TRUE,30,8,0,20,Intermediate Level,3 hours,2017-04-11T04:27:34Z,Graphic Design
315716,15 Mandamientos para ganar dinero en Bolsa,TRUE,20,45,2,49,All Levels,8.5 hours,2014-10-14T17:33:27Z,Business Finance
759972,150 Rock Guitar Licks You MUST Know,TRUE,45,252,14,21,All Levels,4.5 hours,2016-02-19T17:24:14Z,Musical Instruments
550842,16 Guitar Chords to Jam With - (Beginner - Intermediate),TRUE,20,1224,19,20,Beginner Level,1 hour,2015-07-10T19:53:56Z,Musical Instruments
975916,17 Complete JavaScript   projects explained step by step,TRUE,185,327,26,106,Beginner Level,9.5 hours,2016-10-26T14:03:38Z,Web Development
638966,188% Profit in 1Year - Forex ALGO Robot Trading no indicator,TRUE,120,357,71,20,All Levels,2 hours,2016-05-03T19:04:41Z,Business Finance
486240,2 Easy Steps To Investment And Avoiding Traps,TRUE,20,828,1,20,All Levels,1 hour,2015-04-27T23:18:59Z,Business Finance
146454,2. Principles of Simple Interest - advanced problems,TRUE,20,10,1,12,Intermediate Level,1.5 hours,2014-01-20T21:56:35Z,Business Finance
54246,3 documentos clave para administrar tu empresa con éxito,TRUE,45,40,6,18,Intermediate Level,1 hour,2013-05-16T10:03:47Z,Business Finance
1089610,3 Little Pigs: A Multiple Timeframe Forex Trading Strategy,TRUE,20,18,0,6,All Levels,1.5 hours,2017-02-24T16:33:34Z,Business Finance
687248,3 step formula for playing guitar by ear,TRUE,25,3937,54,20,Beginner Level,1.5 hours,2015-12-03T21:26:09Z,Musical Instruments
159388,3. Compound Interest ,TRUE,20,570,2,21,All Levels,2 hours,2014-02-11T18:06:18Z,Business Finance
1207112,30 Day Guitar Jump Start for Success,TRUE,105,31,4,92,Beginner Level,4 hours,2017-05-24T17:03:41Z,Musical Instruments
670640,31 Day Guitar Challenge,TRUE,40,1029,22,32,Beginner Level,3.5 hours,2015-11-30T19:03:27Z,Musical Instruments
592594,3D Programming with WebGL and Babylon.js for Beginners,TRUE,200,549,49,18,Intermediate Level,2 hours,2015-08-31T21:07:26Z,Web Development
1164876,3DS MAX - Learn 3Ds MAX tutorial for Beginners in Urdu Hindi,TRUE,20,785,2,29,All Levels,4.5 hours,2017-04-18T16:45:59Z,Graphic Design
975982,4 Easy Daily Forex Trades: A Recipe for Trading Success,TRUE,200,319,19,12,All Levels,1 hour,2016-11-17T00:37:02Z,Business Finance
1234656,4 Week Rhythm Mastery,TRUE,20,0,0,28,Beginner Level,2.5 hours,2017-07-05T16:07:44Z,Musical Instruments
