Date,Open,High,Low,Close,Volume,Adj Close
6/29/2010,19,25,17.540001,23.889999,18766300,23.889999
6/30/2010,25.790001,30.42,23.299999,23.83,17187100,23.83
7/1/2010,25,25.92,20.27,21.959999,8218800,21.959999
7/2/2010,23,23.1,18.709999,19.200001,5139800,19.200001
7/6/2010,20,20,15.83,16.110001,6866900,16.110001
7/7/2010,16.4,16.629999,14.98,15.8,6921700,15.8
7/8/2010,16.139999,17.52,15.57,17.459999,7711400,17.459999
7/9/2010,17.58,17.9,16.549999,17.4,4050600,17.4
7/12/2010,17.950001,18.07,17,17.049999,2202500,17.049999
7/13/2010,17.389999,18.639999,16.9,18.139999,2680100,18.139999
7/14/2010,17.940001,20.15,17.76,19.84,4195200,19.84
7/15/2010,19.940001,21.5,19,19.889999,3739800,19.889999
7/16/2010,20.700001,21.299999,20.049999,20.639999,2621300,20.639999
7/19/2010,21.370001,22.25,20.92,21.91,2486500,21.91
7/20/2010,21.85,21.85,20.049999,20.299999,1825300,20.299999
7/21/2010,20.66,20.9,19.5,20.219999,1252500,20.219999
7/22/2010,20.5,21.25,20.370001,21,957800,21
7/23/2010,21.190001,21.559999,21.059999,21.290001,653600,21.290001
7/26/2010,21.5,21.5,20.299999,20.950001,922200,20.950001
7/27/2010,20.91,21.18,20.26,20.549999,619700,20.549999
7/28/2010,20.549999,20.9,20.51,20.719999,467200,20.719999
7/29/2010,20.77,20.879999,20,20.35,616000,20.35
7/30/2010,20.200001,20.440001,19.549999,19.940001,426900,19.940001
8/2/2010,20.5,20.969999,20.33,20.92,718100,20.92
8/3/2010,21,21.950001,20.82,21.950001,1230500,21.950001
8/4/2010,21.950001,22.18,20.85,21.26,913000,21.26
8/5/2010,21.540001,21.549999,20.049999,20.450001,796200,20.450001
8/6/2010,20.1,20.16,19.52,19.59,741900,19.59
8/9/2010,19.9,19.98,19.450001,19.6,812700,19.6
8/10/2010,19.65,19.65,18.82,19.030001,1281300,19.030001
8/11/2010,18.690001,18.879999,17.85,17.9,797600,17.9
8/12/2010,17.799999,17.9,17.389999,17.6,691000,17.6
8/13/2010,18.18,18.450001,17.66,18.32,634000,18.32
8/16/2010,18.450001,18.799999,18.26,18.780001,485800,18.780001
8/17/2010,18.959999,19.4,18.780001,19.15,447900,19.15
8/18/2010,19.59,19.59,18.6,18.77,601300,18.77
8/19/2010,18.540001,19.25,18.33,18.790001,579100,18.790001
8/20/2010,18.65,19.110001,18.51,19.1,296000,19.1
8/23/2010,19.09,20.389999,19,20.129999,1088100,20.129999
8/24/2010,19.25,19.709999,18.950001,19.200001,673100,19.200001
8/25/2010,19.16,19.98,18.559999,19.9,503300,19.9
