Segment>>,Consumer,,,,Consumer Total,Corporate,,,,Corporate Total,Home Office,,,,Home Office Total
Ship Mode>>,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,
Order ID,,,,,,,,,,,,,,,
CA-2011-100293,,,,,,,,,,,,,,91.056,91.056
CA-2011-100706,,,129.44,,129.44,,,,,,,,,,
CA-2011-100895,,,,605.47,605.47,,,,,,,,,,
CA-2011-100916,,,,,,,,,788.86,788.86,,,,,
CA-2011-101266,,,13.36,,13.36,,,,,,,,,,
CA-2011-101560,,,,,,,,542.34,,542.34,,,,,
CA-2011-101770,,,,,,,,,1.869,1.869,,,,,
CA-2011-102274,,,,,,,,,865.5,865.5,,,,,
CA-2011-102673,,,,,,,,,1044.44,1044.44,,,,,
CA-2011-102988,,,,,,,,4251.92,,4251.92,,,,,
CA-2011-103317,,,,,,242.546,,,,242.546,,,,,
CA-2011-103366,149.95,,,,149.95,,,,,,,,,,
CA-2011-103807,,,,,,,,,21.19,21.19,,,,,
CA-2011-103989,,,,,,590.762,,,,590.762,,,,,
CA-2011-104283,,,,616.14,616.14,,,,,,,,,,
CA-2011-106054,,,,,,12.78,,,,12.78,,,,,
CA-2011-106810,,,,,,,,,310.88,310.88,,,,,
CA-2011-107573,,,,23.472,23.472,,,,,,,,,,
CA-2011-107811,,,,,,,,,661.504,661.504,,,,,
CA-2011-108707,,,,,,,,,,,,,,10.368,10.368
CA-2011-109043,243.6,,,,243.6,,,,,,,,,,
CA-2011-109232,,,545.94,,545.94,,,,,,,,,,
CA-2011-110100,,,,302.376,302.376,,,,,,,,,,
CA-2011-110408,,,,,,,,2216.8,,2216.8,,,,,
CA-2011-110422,,,25.248,,25.248,,,,,,,,,,
CA-2011-111500,,,,,,,,,484.79,484.79,,,,,
CA-2011-111934,,,,,,47.32,,,,47.32,,,,,
CA-2011-112718,,,,,,,,,1.167,1.167,,,,,
CA-2011-113047,,11.85,,,11.85,,,,,,,,,,
CA-2011-113166,9.568,,,,9.568,,,,,,,,,,
CA-2011-114314,,,,,,,,,16.23,16.23,,,,,
CA-2011-114321,,,,,,,,,1417.35,1417.35,,,,,
CA-2011-114335,,,,337.088,337.088,,,,,,,,,,
CA-2011-114790,,,,,,,,782.63,,782.63,,,,,
CA-2011-115084,,,,,,,,,605.34,605.34,,,,,
CA-2011-115357,,,62.91,,62.91,,,,,,,,,,
CA-2011-116190,,,,256.48,256.48,,,,,,,,,,
CA-2011-116239,,354.9,,,354.9,,,,,,,,,,
CA-2011-116407,,,,362.176,362.176,,,,,,,,,,
CA-2011-116568,,,,186.304,186.304,,,,,,,,,,
CA-2011-117016,,,,15.552,15.552,,,,,,,,,,
CA-2011-117345,,,,,,,,,202.896,202.896,,,,,
CA-2011-117639,,,,,,,,,3333.9,3333.9,,,,,
CA-2011-120432,,,,,,,,25.5,,25.5,,,,,
CA-2011-120670,,,,,,,,,,,,,,799.92,799.92
CA-2011-120768,,,1979.89,,1979.89,,,,,,,,,,
CA-2011-120950,,,,43.68,43.68,,,,,,,,,,
CA-2011-121286,,,,,,,,66.616,,66.616,,,,,
CA-2011-122217,,,,,,,,,,,,,,111.15,111.15
CA-2011-123400,,,,199.296,199.296,,,,,,,,,,
CA-2011-123925,,,40.05,,40.05,,,,,,,,,,
CA-2011-124023,8.96,,,,8.96,,,,,,,,,,
CA-2011-124618,,,479.984,,479.984,,,,,,,,,,
CA-2011-124688,,,,,,1812.01,,,,1812.01,,,,,
CA-2011-125136,,,,,,,,,106.944,106.944,,,,,
